s.Endo Acer rubrum,s.Endo Carya ovata,s.Epi Acer rubrum,s.Epi Carya ovata,s.Lit Acer rubrum,s.Lit Carya ovata,s.Soil Acer rubrum,s.Soil Carya ovata,index,stat,p.value
OTU_273,0,0,0,0,1,0,0,0,5,0.447213595499958,0.887354736328125
OTU_221,0,0,0,0,0,0,0,1,8,0.374019665769748,0.895020463320463
OTU_100,0,0,0,0,0,1,0,0,6,0.864951493870775,0.04782375
OTU_208,0,0,0,0,0,0,1,0,7,0.738414161871612,0.19143786407767
OTU_2712,0,1,0,0,0,0,0,0,2,0.373664701700028,0.895020463320463
OTU_783,0,0,0,0,0,0,0,1,8,0.479223509871744,0.887354736328125
OTU_383,1,0,0,0,0,0,0,0,1,0.523977603703516,0.675856301652893
OTU_198,0,0,0,0,0,0,1,0,7,0.459241955086461,0.895020463320463
OTU_2598,0,0,0,1,0,0,0,0,4,0.333333333333333,1
OTU_138,0,0,0,0,0,0,1,0,7,0.722394839845746,0.2625156
OTU_447,0,0,0,0,1,0,0,0,5,0.447213595499958,0.887354736328125
OTU_1650,0,0,0,1,0,0,0,0,4,0.855889423931639,0.0173117647058824
OTU_1046,0,0,0,0,0,0,0,1,8,0.496138938356834,0.516329877216917
OTU_72,0,0,1,0,0,0,0,0,3,0.633906646644195,0.415660824742268
OTU_159,0,0,0,0,0,1,0,0,6,0.532264246080823,0.467963513513514
OTU_142,0,0,1,0,0,0,0,0,3,0.778688825263639,0.0531867469879518
OTU_1168,0,0,0,0,1,0,0,0,5,0.6,0.32445368852459
OTU_1563,0,0,0,0,1,0,0,0,5,0.330289129537908,1
OTU_231,0,0,0,0,1,0,0,0,5,0.607918758874329,0.657625586353945
OTU_750,0,0,0,0,0,0,1,0,7,0.447213595499958,0.887354736328125
OTU_258,0,0,0,0,0,0,0,1,8,0.447213595499958,0.887354736328125
OTU_1295,0,0,0,0,0,0,0,1,8,0.734846922834953,0.191995714285714
OTU_88,0,0,0,1,0,0,0,0,4,0.770629438706287,0.0226384615384615
OTU_166,0,0,0,0,0,0,0,1,8,0.491303684440518,0.566786306532663
OTU_1465,0,0,0,0,0,0,0,1,8,0.447213595499958,0.887354736328125
OTU_250,0,1,0,0,0,0,0,0,2,0.711068194709966,0.076518
OTU_1507,0,0,0,0,0,1,0,0,6,0.447213595499958,0.887354736328125
OTU_502,0,0,0,0,1,0,0,0,5,0.619323537285332,0.413458115183246
OTU_552,0,0,0,0,1,0,0,0,5,0.632455532033676,0.32445368852459
OTU_2899,0,1,0,0,0,0,0,0,2,0.55241679848537,0.423150255536627
OTU_216,0,0,0,0,0,0,0,1,8,0.429522753667797,0.889384810126582
OTU_1275,0,0,0,1,0,0,0,0,4,0.333333333333333,1
OTU_99,0,0,0,1,0,0,0,0,4,0.727621384154637,0.181904020100503
OTU_1582,0,0,0,0,0,0,0,1,8,0.296318878994877,1
OTU_214,0,0,0,0,0,0,1,0,7,0.632455532033676,0.32445368852459
OTU_743,0,0,0,0,1,0,0,0,5,0.447213595499958,0.887354736328125
OTU_238,0,0,1,0,0,0,0,0,3,0.426226478275265,0.861110215557638
OTU_229,0,1,0,0,0,0,0,0,2,0.814574656141733,0.121597005988024
OTU_146,0,0,0,1,0,0,0,0,4,0.931165660022337,0.0113192307692308
OTU_407,0,0,0,0,1,0,0,0,5,0.610257153258729,0.32445368852459
OTU_465,0,0,0,0,0,0,0,1,8,0.475016868796284,0.583556915544676
OTU_102,0,1,0,0,0,0,0,0,2,0.875745146799599,0.04782375
OTU_3326,0,0,1,0,0,0,0,0,3,0.488139568443533,0.781476185866409
OTU_1409,0,0,0,0,1,0,0,0,5,0.632455532033676,0.32445368852459
OTU_194,0,0,0,0,0,1,0,0,6,0.431889450449217,0.887354736328125
OTU_555,0,0,0,0,0,0,0,1,8,0.447213595499958,0.887354736328125
OTU_264,0,0,0,0,1,0,0,0,5,0.438286278201907,0.887354736328125
OTU_200,0,0,0,0,0,1,0,0,6,0.750757193529548,0.296440363636364
OTU_147,0,0,0,0,0,1,0,0,6,0.632455532033676,0.32445368852459
OTU_312,0,0,0,0,0,0,0,1,8,0.33065591380366,1
OTU_291,0,0,0,0,0,1,0,0,6,0.346410161513775,0.945466737109045
OTU_265,0,0,0,0,0,0,0,1,8,0.765465544619743,0.200345070422535
OTU_2853,0,0,1,0,0,0,0,0,3,0.481125224324688,0.750942477876106
OTU_2099,0,0,0,0,0,0,0,1,8,0.447213595499958,0.887354736328125
OTU_487,0,0,0,0,0,0,1,0,7,0.825076465370889,0.095214705882353
OTU_462,0,0,1,0,0,0,0,0,3,0.436802996170498,0.819755172413793
OTU_69,0,0,0,1,0,0,0,0,4,0.876398854054284,0.0113192307692308
OTU_664,0,0,0,0,0,1,0,0,6,0.592637757989754,0.379071195652174
OTU_479,0,0,0,1,0,0,0,0,4,0.72488302137337,0.453393993506494
OTU_379,0,0,0,0,0,0,0,1,8,0.441367414752375,0.889384810126582
OTU_623,1,0,0,0,0,0,0,0,1,0.740797197487192,0.095214705882353
OTU_762,0,0,0,0,1,0,0,0,5,0.4,0.889384810126582
OTU_434,0,0,0,0,0,0,0,1,8,0.447213595499958,0.887354736328125
OTU_78,0,0,0,0,0,1,0,0,6,0.330137585997222,1
OTU_109,0,0,1,0,0,0,0,0,3,0.321921947057631,1
OTU_259,0,0,0,0,1,0,0,0,5,0.632455532033676,0.32445368852459
OTU_1230,0,0,0,0,0,0,1,0,7,0.447213595499958,0.887354736328125
OTU_2452,0,0,0,0,0,0,0,1,8,0.387298334620742,0.895020463320463
OTU_435,0,0,0,0,0,1,0,0,6,0.447213595499958,0.887354736328125
