s.Endo,s.Epi,s.Lit,s.Soil,index,stat,p.value
OTU_311,0,0,0,1,4,0.447213595499958,0.1112
OTU_553,0,0,0,1,4,0.316227766016838,0.6013
OTU_3245,0,0,0,1,4,0.316227766016838,0.6158
OTU_1440,,,,,,,
OTU_199,0,0,1,0,3,0.547722557505166,0.0195
OTU_228,0,0,0,1,4,0.316227766016838,0.6101
OTU_2593,1,0,0,0,1,0.523822721827184,0.0721
OTU_336,0,0,0,1,4,0.547722557505166,0.022
OTU_637,0,1,0,0,2,0.577350269189626,0.0224
OTU_516,0,0,1,0,3,0.605063380907533,0.0045
OTU_1918,0,0,0,1,4,0.447213595499958,0.1139
OTU_245,0,1,1,0,8,0.77919372247398,0.0009
OTU_1655,,,,,,,
OTU_1174,0,0,1,0,3,0.4,0.2851
OTU_332,1,0,0,0,1,0.586021375575652,0.1622
OTU_1105,0,0,1,0,3,0.632455532033676,0.0023
OTU_340,0,0,0,1,4,0.447213595499958,0.1103
OTU_475,0,0,1,0,3,0.405095746833467,0.288
OTU_3247,0,1,1,0,8,0.377964473009227,0.591
OTU_522,0,0,1,0,3,0.447213595499958,0.1107
OTU_248,0,0,1,0,3,0.446012374970257,0.1001
OTU_306,0,0,0,1,4,0.798825104113113,0.0005
OTU_211,0,1,1,0,8,0.925820099772551,0.0001
OTU_810,0,1,0,0,2,0.801803339561798,0.0006
OTU_362,1,1,1,0,11,0.641561228985185,0.138
OTU_2653,,,,,,,
OTU_346,0,0,1,0,3,0.742967024840268,0.0004
OTU_268,0,0,0,1,4,0.948683298050514,0.0001
OTU_2419,,,,,,,
OTU_313,0,0,0,1,4,0.774596669241483,0.0001
OTU_192,0,0,0,1,4,0.316227766016838,0.6036
OTU_1273,0,0,0,1,4,0.447213595499958,0.1155
OTU_893,0,0,0,1,4,0.802772971919486,0.0001
OTU_261,0,0,0,1,4,0.836660026534076,0.0001
OTU_3023,0,0,1,0,3,0.316227766016838,0.6069
OTU_2894,0,1,0,0,2,0.235702260395516,1
OTU_201,0,0,1,1,10,0.670820393249937,0.0109
OTU_204,0,0,1,0,3,0.316227766016838,0.6016
OTU_144,0,0,1,0,3,0.774596669241483,0.0003
OTU_387,0,0,0,1,4,0.894427190999916,0.0001
OTU_807,0,1,0,0,2,0.327374561072016,0.5713
OTU_303,0,1,1,0,8,0.746296157580568,0.0027
OTU_179,0,0,1,0,3,0.316227766016838,0.6118
OTU_225,0,0,0,1,4,0.316227766016838,0.6101
OTU_2111,0,0,0,1,4,0.707106781186548,0.0005
OTU_1224,0,1,0,0,2,0.408248290463863,0.1878
OTU_263,0,0,0,1,4,0.547722557505166,0.0186
OTU_1114,0,1,1,0,8,0.566946709513841,0.0582
OTU_322,0,0,0,1,4,0.447213595499958,0.1172
OTU_1233,0,0,1,0,3,0.316227766016838,0.6069
OTU_538,0,1,1,0,8,0.462910049886276,0.226
OTU_566,0,1,1,0,8,0.462910049886276,0.2361
OTU_563,0,1,1,0,8,0.422577127364258,0.3818
OTU_625,0,0,0,1,4,0.707106781186548,0.0007
OTU_190,0,0,0,1,4,0.632455532033676,0.0024
OTU_846,1,0,1,0,6,0.569682594586843,0.0183
OTU_452,0,0,0,1,4,0.447213595499958,0.1109
OTU_494,0,1,1,0,8,0.462910049886276,0.2385
OTU_708,1,1,0,0,5,0.689892675571799,0.0126
OTU_1387,1,0,1,0,6,0.290408934775758,0.8655
OTU_316,0,1,1,0,8,0.533445901697039,0.4529
OTU_341,0,0,0,1,4,0.54198708471697,0.0318
OTU_709,1,1,0,0,5,0.725098156191397,0.0034
OTU_94,0,0,1,0,3,0.316227766016838,0.6069
OTU_396,0,0,0,1,4,0.316227766016838,0.6036
OTU_266,1,0,1,0,6,0.508547627715608,0.1063
OTU_1893,0,0,1,0,3,0.447213595499958,0.1128
OTU_548,1,0,1,0,6,0.554153962516942,0.0921
OTU_314,0,0,0,1,4,0.447213595499958,0.1163
OTU_240,0,0,1,0,3,0.632455532033676,0.0026
OTU_2232,0,0,0,1,4,0.316227766016838,0.6158
OTU_390,0,1,0,0,2,0.654749122144033,0.0033
OTU_280,0,1,1,0,8,0.7319250547114,0.0039
OTU_673,0,0,1,0,3,0.316227766016838,0.6081
OTU_2654,0,1,0,0,2,0.235702260395516,1
OTU_1923,0,0,0,1,4,0.325395686727984,0.8058
OTU_493,0,0,0,1,4,0.531368931324057,0.036
OTU_152,0,0,0,1,4,1,0.0001
OTU_1002,0,1,0,0,2,0.619914565488338,0.017
OTU_753,0,0,0,1,4,0.316227766016838,0.6036
OTU_380,0,0,1,1,10,0.830713540178378,0.0001
OTU_2819,0,0,0,1,4,0.94505543276168,0.0001
OTU_711,1,0,1,0,6,0.327692768207616,0.4758
OTU_143,0,0,0,1,4,0.547722557505166,0.0186
OTU_1115,0,0,0,1,4,0.547722557505166,0.0209
