OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU_3000	Fungi	Basidiomycota	Tremellomycetes	Tremellales			
OTU_3001	Fungi	Basidiomycota					
OTU_3002	Fungi	Basidiomycota	Spiculogloeomycetes				
OTU_3003	Fungi	Basidiomycota	Agaricomycetes	Cantharellales	Ceratobasidiaceae	Ceratobasidium	
OTU_3004	Fungi	Ascomycota	Leotiomycetes	Helotiales	Myxotrichaceae	Oidiodendron	
OTU_3005	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
OTU_3006	Fungi						
OTU_3007	Fungi	Basidiomycota	Agaricomycetes	Russulales	Russulaceae	Russula	Russula mariae
OTU_3008	Fungi	Basidiomycota	Exobasidiomycetes	Exobasidiales	Exobasidiaceae	Exobasidium	Exobasidium maculosum
OTU_3009	Fungi	Basidiomycota	Tremellomycetes				
OTU_3010	Fungi	Rozellomycota					
OTU_3011	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Steccherinaceae	Steccherinum	Steccherinum bourdotii
OTU_3012	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Moesziomyces	Moesziomyces rugulosus
OTU_3013	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Cryptococcaceae	Kwoniella	Kwoniella betulae
OTU_3014	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Hypocreaceae	Monocillium	Monocillium griseo-ochraceum
OTU_3015	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Psathyrellaceae	Coprinopsis	Coprinopsis echinospora
OTU_3016	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_3017	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_3018	Fungi	Ascomycota					
OTU_3019	Fungi	Ascomycota					
OTU_3020	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Mycena	Mycena amicta
OTU_3021	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Tremellaceae	Tremella	Tremella indecorata
OTU_3022	Fungi	Ascomycota					
OTU_3023	Fungi	Ascomycota	Dothideomycetes	Tubeufiales	Tubeufiaceae		
OTU_3024	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Clavicipitaceae	Pochonia	
OTU_3025	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae		
OTU_3026	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Thyridariaceae		
OTU_3027	Fungi	Ascomycota					
OTU_3028	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_3029	Fungi	Ascomycota	Sordariomycetes	Xylariales	Xylariaceae	Hypoxylon	Hypoxylon sp 
OTU_3030	Fungi	Ascomycota					
OTU_3031	Fungi						
OTU_3032	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_3033	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Incertae_sedis	Peniophorella	Peniophorella guttulifera
OTU_3034	Fungi	Rozellomycota					
OTU_3035	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Clavariaceae		
OTU_3036	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Curvularia	Curvularia intermedia
OTU_3037	Fungi	Basidiomycota	Microbotryomycetes	Kriegeriales	Kriegeriaceae		
OTU_3038	Fungi						
OTU_3039	Fungi	Ascomycota	Leotiomycetes	Helotiales			
OTU_3040	Fungi						
OTU_3041	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Mycosphaerellaceae	Mycosphaerella	
OTU_3042	Fungi	Basidiomycota	Agaricomycetes				
OTU_3043	Fungi	Basidiomycota	Agaricomycetes	Agaricales			
OTU_3044	Fungi						
OTU_3045	Fungi						
OTU_3046	Fungi	Basidiomycota	Agaricomycetes	Hymenochaetales	Schizoporaceae	Lyomyces	Lyomyces allantosporus
OTU_3047	Fungi	Ascomycota	Leotiomycetes	Helotiales	Helotiaceae	Dimorphospora	Dimorphospora foliicola
OTU_3048	Fungi						
OTU_3049	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae		
OTU_3050	Fungi						
OTU_3051	Fungi	Glomeromycota					
OTU_3052	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Mortierella	
OTU_3053	Fungi	Glomeromycota	Glomeromycetes	Glomerales	Glomeraceae		
OTU_3054	Fungi	Ascomycota	Sordariomycetes	Hypocreales			
OTU_3055	Fungi	Basidiomycota	Spiculogloeomycetes	Spiculogloeales	Spiculogloeaceae	Phyllozyma	Phyllozyma linderae
